"","ma","thuoc","ThuongMai","dvt","hoatchat","nhomBD","nhomdieutri","tondauky_sl","tondauky_thanhtien","nhaptrongky_sl","nhaptrongky_thanhtien","xuattrongky_sl","xuattrongky_thanhtien","toncuoiky_sl","toncuoiky_thanhtien","thang","nam"
"7122","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,1,2015
"7123","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,2,2015
"7124","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,3,2015
"7125","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,4,2015
"7126","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,5,2015
"7127","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,6,2015
"7128","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,7,2015
"7129","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,8,2015
"7130","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,9,2015
"7131","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,10,2015
"7132","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,11,2015
"7133","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,12,2015
"7134","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,1,2016
"7135","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,2,2016
"7136","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,3,2016
"7137","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,4,2016
"7138","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,5,2016
"7139","FenT1","fenohexan, 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,499,1876737.1,0,0,6,2016
"7140",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,1,2014
"7141",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,2,2014
"7142",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,3,2014
"7143",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,4,2014
"7144",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,5,2014
"7145",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,6,2014
"7146",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,7,2014
"7147",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,8,2014
"7148",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,9,2014
"7149",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,10,2014
"7150",NA,"fenohexan(fenofibrate), 200mg,viên (gmbh,germany)","fenohexan","vien","fenofibrate_200",2,21,499,1876737.1,0,0,0,0,499,1876737.1,11,2014
"7151",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,1,2014
"7152",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,2,2014
"7153",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,3,2014
"7154",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,4,2014
"7155",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,5,2014
"7156",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,6,2014
"7157",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,7,2014
"7158",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,8,2014
"7159",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,9,2014
"7160",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,10,2014
"7161",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,11,2014
"7162",NA,"fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,12,2014
"7163","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,1,2015
"7164","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,0,0,10,115500,2,2015
"7165","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,115500,0,0,10,115500,0,0,3,2015
"7166","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,0,0,10,105000,0,0,10,105000,4,2015
"7167","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,105000,0,0,0,0,10,105000,5,2015
"7168","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,105000,0,0,0,0,10,105000,6,2015
"7169","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,10,105000,0,0,5,52500,5,52500,7,2015
"7170","FenT","fentanyl , 100mcg,ống (hameln gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,5,52500,0,0,0,0,5,52500,8,2015
"7171","FenT","fentanyl , 100mcg,ống (hameln pharmaceuticals gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,5,52500,0,0,0,0,5,52500,9,2015
"7172","FenT","fentanyl , 100mcg,ống (hameln pharmaceuticals gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,5,52500,0,0,0,0,5,52500,10,2015
"7173","FenT","fentanyl , 100mcg,ống (hameln pharmaceuticals gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,5,52500,0,0,0,0,5,52500,11,2015
"7174","FenT","fentanyl , 100mcg,ống (hameln pharmaceuticals gmbh,germany)","fentanyl_hameln","ong","fentanyl_50",2,2,5,52500,0,0,5,52500,0,0,12,2015
"7175","FEN001","Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:),Date )'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK","fentanyl_labo","ong","fentanyl_50",2,2,60,672600,0,0,10,112100,50,560500,12,2018
"7176","FEN001","Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:0087562),Date 300819)'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK","fentanyl_labo","ong","fentanyl_50",2,2,0,0,120,1345200,49,549290,71,795910,7,2018
"7177","FEN001","Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:0087562),Date 300819)'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK","fentanyl_labo","ong","fentanyl_50",2,2,71,795910,0,0,10,112100,61,683810,8,2018
"7178","FEN001","Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:0087562),Date 300819)'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK","fentanyl_labo","ong","fentanyl_50",2,2,61,683810,0,0,0,0,61,683810,9,2018
"7179","FEN001","Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:0087562),Date 300819)'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK","fentanyl_labo","ong","fentanyl_50",2,2,61,683810,0,0,0,0,61,683810,10,2018
"7180","FEN001","Fentanyl 2ml 50mcg/ml [Fentanyl](Lô:0087562),Date 300819)'HSX:Laboratorios IMA S.A.I.C.' 'NSX:UK","fentanyl_labo","ong","fentanyl_50",2,2,61,683810,0,0,1,11210,60,672600,11,2018
"7181","FenT2","fentanyl- hameln 100mcg/ 2ml
 , 50mcg/ml
 ,ống (hameln pharmaceuticals gmbh,germany) 638074, 01/09/2018","fentanyl_hameln","ong","fentanyl_50",2,2,20,182000,0,0,6,54600,14,127400,9,2017
"7182","FenT2","fentanyl- hameln 100mcg/ 2ml
 , 50mcg/ml
 ,ống (hameln pharmaceuticals gmbh,germany) 638074, 01/09/2018","fentanyl_hameln","ong","fentanyl_50",2,2,14,127400,0,0,13,118300,1,9100,10,2017
"7183","FenT2","fentanyl- hameln 100mcg/ 2ml
 , 50mcg/ml
 ,ống (hameln pharmaceuticals gmbh,germany) 638074, 01/09/2018","fentanyl_hameln","ong","fentanyl_50",2,2,1,9100,0,0,0,0,1,9100,11,2017
"7184","FenT2","fentanyl- hameln 100mcg/ 2ml
 , 50mcg/ml
 ,ống (hameln pharmaceuticals gmbh,germany) 638074, 01/09/2018","fentanyl_hameln","ong","fentanyl_50",2,2,1,9100,0,0,1,9100,0,0,12,2017
"7185","FenT2","fentanyl- hameln 100mcg/ 2ml
 , 50mcg/ml
 ,ống (hameln pharmaceuticals gmbh,germany) 641068, 01/10/2019","fentanyl_hameln","ong","fentanyl_50",2,2,13,120120,70,637000,63,575120,20,182000,8,2017
"7186","FenT2","fentanyl-100mcg/ 2ml
 , 50mcg/ml
 ,ống (rotexmedica gmbh arzneimittelwerk,germany) 70790, 01/11/2020","fentanyl_hameln","ong","fentanyl_50",2,2,0,0,70,735000,0,0,70,735000,1,2018
"7187","FenT2","fentanyl-100mcg/ 2ml
 , 50mcg/ml
 ,ống (rotexmedica gmbh arzneimittelwerk,germany) 70790, 01/11/2020","fentanyl_hameln","ong","fentanyl_50",2,2,70,735000,0,0,8,84000,62,651000,2,2018
"7188","FenT2","fentanyl-100mcg/ 2ml
 , 50mcg/ml
 ,ống (rotexmedica gmbh arzneimittelwerk,germany) 70790, 01/11/2020","fentanyl_hameln","ong","fentanyl_50",2,2,62,651000,0,0,1,10500,61,640500,3,2018
"7189","FenT2","fentanyl-100mcg/ 2ml
 , 50mcg/ml
 ,ống (rotexmedica gmbh arzneimittelwerk,germany) 70790, 01/11/2020","fentanyl_hameln","ong","fentanyl_50",2,2,61,640500,0,0,61,640500,0,0,4,2018
"7190",NA,"flagy(metronidazole), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,924,444399.8,0,0,21,10099.95,903,434299.85,1,2014
"7191",NA,"flagy(metronidazole), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,903,434299.85,0,0,42,20199.9,861,414099.95,2,2014
"7192",NA,"flagy(metronidazole), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,861,414099.95,0,0,84,40399.8,777,373700.15,3,2014
"7193",NA,"flagy(metronidazole), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,777,373700.15,0,0,192,92343.4,585,281356.75,4,2014
"7194",NA,"flagyl (metronidazol), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,449,215946.55,0,0,74,35590.3,375,180356.25,7,2014
"7195",NA,"flagyl (metronidazol), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,375,180356.25,0,0,70,33666.5,305,146689.75,8,2014
"7196",NA,"flagyl (metronidazol), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,305,146689.75,0,0,9,4328.55,296,142361.2,9,2014
"7197",NA,"flagyl (metronidazol), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,296,142361.2,0,0,30,14428.5,266,127932.7,10,2014
"7198",NA,"flagyl (metronidazol), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,266,127932.7,0,0,36,17314.2,230,110618.5,11,2014
"7199",NA,"flagyl (metronidazole), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,585,281356.75,0,0,27,12985.65,558,268371.1,5,2014
"7200",NA,"flagyl (metronidazole), 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,558,268371.1,0,0,109,52424.55,449,215946.55,6,2014
"7201",NA,"flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,230,110618.5,0,0,0,0,230,110618.5,12,2014
"7202","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,230,110618.5,0,0,105,50499.75,125,60118.75,1,2015
"7203","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,125,60118.75,0,0,12,5771.4,113,54347.35,2,2015
"7204","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,113,54347.35,0,0,68,32704.6,45,21642.75,3,2015
"7205","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,45,21642.75,0,0,35,16833.25,10,4809.5,4,2015
"7206","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,10,4809.5,400,216321,36,19230.4,374,201900.1,5,2015
"7207","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,374,201900.1,0,0,54,29203.2,320,172696.9,6,2015
"7208","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,320,172696.9,0,0,51,27580.8,269,145116.1,7,2015
"7209","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,269,145116.1,0,0,0,0,269,145116.1,8,2015
"7210","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,269,145116.1,0,0,8,4326.4,261,140789.7,9,2015
"7211","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,261,140789.7,0,0,50,27040,211,113749.7,10,2015
"7212","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,211,113749.7,0,0,20,10816,191,102933.7,11,2015
"7213","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,191,102933.7,0,0,58,31366.4,133,71567.3,12,2015
"7214","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,133,71567.3,0,0,14,7571.2,119,63996.1,1,2016
"7215","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,119,63996.1,0,0,24,12979.2,95,51016.9,2,2016
"7216","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,95,51016.9,0,0,20,10816,75,40200.9,3,2016
"7217","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,75,40200.9,0,0,0,0,75,40200.9,4,2016
"7218","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,75,40200.9,0,0,41,22172.8,34,18028.1,5,2016
"7219","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,34,18028.1,0,0,0,0,34,18028.1,6,2016
"7220","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,34,18028.1,0,0,0,0,34,18028.1,7,2016
"7221","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,34,18028.1,0,0,0,0,34,18028.1,8,2016
"7222","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,34,18028.1,0,0,0,0,34,18028.1,9,2016
"7223","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,34,18028.1,0,0,6,3244.8,28,14783.3,10,2016
"7224","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,28,14783.3,0,0,0,0,28,14783.3,11,2016
"7225","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,28,14783.3,0,0,0,0,28,14783.3,12,2016
"7226","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,28,14783.3,0,0,22,11897.6,6,2885.7,1,2017
"7227","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,6,2885.7,0,0,0,0,6,2885.7,2,2017
"7228","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,6,2885.7,0,0,0,0,6,2885.7,3,2017
"7229","FlaT","flagyl, 250mg,viên (aventis ,việt nam)","flagy","vien","metronidazol_250",2,17,6,2885.7,0,0,6,2885.7,0,0,4,2017
"7230",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,60,527940,0,0,0,0,60,527940,1,2014
"7231",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,60,527940,0,0,0,0,60,527940,2,2014
"7232",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,60,527940,0,0,0,0,60,527940,3,2014
"7233",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,60,527940,0,0,1,8799,59,519141,4,2014
"7234",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,5,2014
"7235",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,6,2014
"7236",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,7,2014
"7237",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,8,2014
"7238",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,9,2014
"7239",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,10,2014
"7240",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,0,0,59,519141,11,2014
"7241",NA,"fluconazol, 150mg,viên (stada vn,việt nam)","fluconazol stada","vien","fluconazol_150",2,16,59,519141,0,0,59,519141,0,0,12,2014
"7242","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,0,0,28,7840000,18,5040000,10,2800000,8,2016
"7243","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,9,2016
"7244","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,10,2016
"7245","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,11,2016
"7246","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,12,2016
"7247","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,1,2017
"7248","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,2,2017
"7249","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,3,2017
"7250","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,4,2017
"7251","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany)","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,5,2017
"7252","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,6,2017
"7253","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,7,2017
"7254","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,8,2017
"7255","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,9,2017
"7256","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,10,2017
"7257","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,11,2017
"7258","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,12,2017
"7259","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,1,2018
"7260","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,2,2018
"7261","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,3,2018
"7262","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,4,2018
"7263","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,5,2018
"7264","FluT4","fluconazole
 , 200mg
 ,lọ (solupharm pharmazeutische erzeugnisse gmbh,germany) 1616555, 01/04/2019","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,6,2018
"7265","FLU001","Fluconazole 200mg [Fluconazol](Lô:),Date )'HSX:Solupharm Pharmazeutische Erzeugnisse GmbH' 'NSX:Germany","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,12,2018
"7266","FLU001","Fluconazole 200mg [Fluconazol](Lô:1616555),Date 010419)'HSX:Solupharm Pharmazeutische Erzeugnisse GmbH' 'NSX:Germany","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,7,2018
"7267","FLU001","Fluconazole 200mg [Fluconazol](Lô:1616555),Date 010419)'HSX:Solupharm Pharmazeutische Erzeugnisse GmbH' 'NSX:Germany","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,8,2018
"7268","FLU001","Fluconazole 200mg [Fluconazol](Lô:1616555),Date 010419)'HSX:Solupharm Pharmazeutische Erzeugnisse GmbH' 'NSX:Germany","fluconazol_solu","lo","fluconazol_200",2,16,10,2800000,0,0,0,0,10,2800000,9,2018
